track_name,artist_name,lyrics
I Had Some Help (Feat. Morgan Wallen),Post Malone,"65 Contributors Translations Português Deutsch Norsk Español Polski Italiano I Had Some Help Lyrics “I Had Some Help” marks the first collaboration between Post Malone and Morgan Wallen. It was initially performed by the duo at Stagecoach 2024 on April 28 and released a month later that same year. … Read More [Verse 1: Post Malone] You got a lotta nerve, don't you, baby? I only hit the curb 'cause you made me You're tellin' all your friends that I'm crazy Like I'm the only one Why'd you throw them stones if you Had a wild hair of your own or two? Livin' in your big glass house with a view I thought you knew [Chorus: Post Malone] I had some help It ain't like I can make this kinda mess all by myself Don't act like you ain't help me pull that bottle off the shelf Been deep in every weekend if you couldn't tell They say, ""Teamwork makes the dream work,"" hell, I had some help Help [Post-Chorus: Post Malone] Help [Verse 2: Morgan Wallen] You thought I'd take the blame for us a-crumbling Go 'round like you ain't guilty of somethin' Already lost the game that you been runnin' Guess it's catchin' up to you, huh You think that you're so innocent After all the shit you did I ain't an angel, you ain't heaven-sent Can't wash our hands of this [Chorus: Morgan Wallen] I had some help It ain't like I can make this kinda mess all by myself Don't act like you ain't help me pull that bottle off the shelf Been deep in every weekend if you couldn't tell They say, ""Teamwork makes the dream work,"" hell, I had some help Help [Post-Chorus: Post Malone] Help Help Help [Bridge: Morgan Wallen, Post Malone & Both ] It takes two to break a heart in two, ooh Baby, you blame me and, baby, I blame you Aw, if that ain't the truth  Oh  [Chorus: Post Malone & Morgan Wallen ] I had some help It ain't like I can make this kinda mess all by myself Don't act like you ain't help me pull that bottle off the shelf Been deep in every weekend if you couldn't tell They say, ""Teamwork makes the dream work,"" hell, I had some help Help [Post-Chorus: Post Malone] Help Help Help"
I Ain't Comin' Back (feat. Post Malone),Post Malone,"59 Contributors Translations Türkçe Nederlands Leave Lyrics A week before his debut studio album’s release date, Post Malone released Stoney’s seventh single, “Leave.” The track aches with the raw longing which belongs only to heartbreak, reinforced by string… Read More [Intro] Oh-oh-oh-oh [Verse 1] She said, ""Love me"" so I love her Oh-oh-oh-oh She said, ""Leave me"" so I left Oh-oh-oh-oh Then I went to California Oh-oh-oh-oh And I ain't never comin' back I got a high five from a brother Oh-oh-oh-oh I got bloodstains on the bed Oh-oh-oh-oh And I ain't sayin' that I love her Oh-oh-oh-oh But this bitch is gonna drive me mad I said this bitch is gonna drive me mad Ah-ah-ah-ah-ah-ah, oh-oh-oh-oh [Chorus] You got just what I been looking for But you can't bring yourself to say no And I ain't never gonna let you go I kept wishing I would die, oh The whole plane ride home And I wish I could I know I should leave you alone Oh-oh-oh-oh Oh-oh-oh-oh [Verse 2] I worship since I met you Oh-oh-oh-oh I fell down to my knees Oh-oh-oh-oh And when no one would accept ya Oh-oh-oh-oh Throw myself up on a cross and bleed I seen a dark cloud coming over Oh-oh-oh-oh I seen some evil shit in her head Oh-oh-oh-oh But she rode me like no other Oh-oh-oh-oh But this bitch is gonna drive me mad I said this bitch is gonna drive me mad Ah-ah-ah-ah-ah-ah, oh-oh-oh-oh [Chorus] You got just what I been looking for But you can't bring yourself to say no And I ain't never gonna let you go I kept wishing I would die, oh That whole plane ride home And I wish I could I know I should leave you alone Oh-oh-oh-oh Oh-oh-oh-oh Oh-oh-oh-oh Oh-oh-oh-oh You got just what I been looking for But you can't bring yourself to say no And I ain't never gonna let you go I kept wishing I would die, oh That whole plane ride home And I wish I could I know I should leave you alone Oh-oh-oh-oh Oh-oh-oh-oh Oh-oh-oh-oh Oh-oh-oh-oh"
Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,NA
Circles,Post Malone,"145 Contributors Translations Español Português Polski Deutsch فارسی Nederlands Česky Italiano Türkçe Русский Russian Circles Lyrics “Circles” is the fourth single from Post Malone’s third studio album, Hollywood’s Bleeding. The track continues the heartbreak theme from “Goodbyes” as he struggles to maintain a strong relationship with this… Read More [Intro] Oh, oh, oh Oh, oh, oh Oh, oh, oh, oh, oh [Verse 1] We couldn't turn around 'til we were upside down I'll be the bad guy now, but know I ain't too proud I couldn't be there even when I tried You don't believe it, we do this every time [Chorus] Seasons change and our love went cold Feed the flame 'cause we can't let go Run away, but we're running in circles Run away, run away I dare you to do something I'm waiting on you again, so I don't take the blame Run away, but we're running in circles Run away, run away, run away [Verse 2] Let go, I got a feeling that it's time to let go I said so, I knew that this was doomed from the get-go You thought that it was special, special But it was just the sex, though, the sex, though And I still hear the echoes The echoes I got a feeling that it's time to let it go, let it go [Chorus] Seasons change and our love went cold Feed the flame 'cause we can't let go Run away, but we're running in circles Run away, run away I dare you to do something I'm waiting on you again, so I don't take the blame Run away, but we're running in circles Run away, run away, run away [Bridge] Maybe you don't understand what I'm going through It's only me, what you got to lose? Make up your mind, tell me, what are you gonna do? It's only me, let it go [Chorus] Seasons change and our love went cold Feed the flame 'cause we can't let go Run away, but we're running in circles Run away, run away I dare you to do something I'm waiting on you again, so I don't take the blame Run away, but we're running in circles Run away, run away, run away"
Fortnight (feat. Post Malone),Post Malone,NA
rockstar (feat. 21 Savage),Post Malone,NA
Guy For That (Feat. Luke Combs),Post Malone,"38 Contributors Translations Polski Português Deutsch Español Guy For That Lyrics [Verse 1: Post Malone] I got a guy to sight in my rifle My mama's new boyfriend re-binds bibles Ricky down the road, he resoles Red Wings Hell, I got a guy for every damn thing Oh, that ain't exactly what I'm lookin' for 'Cause I'm lookin' for [Chorus: Post Malone] Someone to put her tires back in the drive And if they don't, then I just might Lose what's left of my never-lovin' mind I'm damn near down to my last dime I'm pretty good at breakin' down a heart But pickin' up the pieces is the hard part She's searchin' for someone who's gonna build it back But I ain't got a guy for that [Post-Chorus: Post Malone] Ain't got a guy for that, ain't got a guy for that Ain't got a guy for that [Verse 2: Luke Combs] Know a VIP up at MIT And he still won't let mе fly the time machine Somеone to turn back the hands on my new AP But, buddy, what I really need [Chorus: Luke Combs] Is someone to put her tires back in the drive And if they don't, then I just might Lose what's left of my never-lovin' mind I'm damn near down to my last dime I'm pretty good at breakin' down a heart But picking up the pieces is the hard part She's searchin' for someone who's gonna build it back But I ain't got a guy for that [Post-Chorus: Luke Combs & Post Malone , Post Malone & Luke Combs ] Ain't got a guy for that, ain't got a guy for that Guy for that  Ain't got a guy, I ain't got a guy for that Ain't got a guy for that, ain't got a guy for that Ain't got a guy, I ain't got a guy for that"
Congratulations,Post Malone,"238 Contributors Translations Nederlands Italiano Deutsch Türkçe Congratulations Lyrics On “Congratulations,“ Post Malone and Quavo celebrate success, crediting it to their patience and hard work. Malone debuted the track while performing in Austin, Texas in September of 2016, two months before… Read More [Intro: Post Malone] Yeah, yeah Yeah Hey  [Chorus: Post Malone] My mama called, seen you on TV, son Said shit done changed ever since we was on I dreamed it all ever since I was young They said I wouldn't be nothing Now they always say, ""Congratulations"" Uh, uh, uh Worked so hard, forgot how to vacation Uh-huh They ain't never had the dedication Uh, uh People hatin', say we changed and look, we made it Uh, uh Yeah, we made it Uh, uh, uh [Verse 1: Post Malone] They was never friendly, yeah Now I'm jumping out the Bentley, yeah And I know I sound dramatic, yeah But I know I had to have it, yeah For the money, I'm a savage, yeah I be itching like an addict, yeah I'm surround by twenty bad bitch, yeah But they didn't know me last year, yeah Everyone wanna act like they important Yeah-yeah-yeah, yeah-yeah-yeah But all that mean nothing when I saw my dough, yeah Yeah-yeah-yeah, yeah-yeah-yeah Everyone countin' on me drop the ball, yeah Yeah-yeah-yeah, yeah-yeah-yeah Everything custom like I'm at the border, yeah, yeah If you fuck with winning, put your lighters to the sky How could I make cents when I got millions on my mind? Coming with that bullshit, I just put it to the side Balling since a baby, they could see it in my eyes [Chorus: Post Malone & Quavo ] My mama called, seen you on TV, son Said shit done changed ever since we was on I dreamed it all ever since I was young They said I wouldn't be nothing Now they always say, ""Congratulations"" Congratulations  Worked so hard, forgot how to vacation Ooh  They ain't never had the dedication Uh, uh, ayy  People hatin', say we changed and look, we made it Uh, uh Yeah, we made it Uh, uh, uh, yeah  [Verse 2: Quavo] I was patient Yeah, oh I was patient Ayy, uh Now I can scream that we made it We made it Now everywhere, everywhere I go, they say 'gratulation Uh Young nigga, young nigga graduation Yeah I pick up the rock and I ball, baby Ball I'm looking for someone to call, baby Brr But right now, I got a situation Ayy Nothin' but old Ben, Ben Franklins Cash Big rings Woo, champagne Champagne My life is like a ball game Ball game But instead, I'm in the trap, though Trap, though Pot so big, call it Super Bowl Super Bowl Super Bowl, call the hoes Brr, get in the Rolls Skrrt Top-floor lifestyle Top, Huncho and Post Yeah, ayy Malone Ayy, I got a play on my phone Ayy You know what I'm on Ayy, Huncho Houdini, it's gone Ayy [Chorus: Post Malone & Quavo ] My mama called, seen you on TV, son Said shit done changed ever since we was on I dreamed it all ever since I was young They said I wouldn't be nothing Now they always say, ""Congratulations"" Ayy, uh, uh, uh Worked so hard, forgot how to vacation Uh-huh, ooh  They ain't never had the dedication Ayy, uh, uh People hatin', say we changed and look, we made it Yeah, uh, uh Yeah, we made it Ayy  [Outro] Hey, hey, hey, hey Hey, hey, hey, hey"
Better Now,Post Malone,"179 Contributors Translations Türkçe Español Português Français فارسی Nederlands 简体中文 Simplified Chinese Deutsch Русский Russian Better Now Lyrics On “Better Now,” Post reminisces about a past relationship. He believes that his emotions mirror those of his ex. They are likely both masking the fact that they still have feelings for each other in an… Read More [Chorus] You probably think that you are better now, better now You only say that 'cause I'm not around, not around You know I never meant to let you down, let you down Woulda gave you anything, woulda gave you everything You know I say that I am better now, better now I only say that 'cause you're not around, not around You know I never meant to let you down, let you down Woulda gave you anything, woulda gave you everything Oh woah [Verse 1] I did not believe that it would end, no Everything came second to the Benzo You're not even speakin' to my friends, no You knew all my uncles and my aunts though Twenty candles, blow 'em out and open your eyes We were lookin' forward to the rest of our lives Used to keep my picture posted by your bedside Now it's in your dresser with the socks you don't like And I'm rollin', rollin', rollin', rollin' With my brothers like it's Jonas, Jonas Drinkin' Henny and I'm tryna forget But I can't get this shit outta my head [Chorus] You probably think that you are better now, better now You only say that 'cause I'm not around, not around You know I never meant to let you down, let you down Woulda gave you anything, woulda gave you everything You know I say that I am better now, better now I only say that 'cause you're not around, not around You know I never meant to let you down, let you down Woulda gave you anything, woulda gave you everything Oh woah [Verse 2] I seen you with your other dude He seemed like he was pretty cool I was so broken over you Life, it goes on, what can you do? I just wonder what it's gonna take What's it gonna take? Another foreign or a bigger chain Bigger chain Because no matter how my life has changed No matter how my life has changed I keep on looking back on better days [Chorus] You probably think that you are better now, better now You only say that 'cause I'm not around, not around You know I never meant to let you down, let you down Woulda gave you anything, woulda gave you everything You know I say that I am better now, better now I only say that 'cause you're not around, not around You know I never meant to let you down, let you down Woulda gave you anything, woulda gave you everything Oh woah [Bridge] I promise I swear to you, I'll be okay You're only the love of my life Love of my life [Chorus] You probably think that you are better now, better now You only say that 'cause I'm not around, not around You know I never meant to let you down, let you down Woulda gave you anything, woulda gave you everything You know I say that I am better now, better now I only say that 'cause you're not around, not around You know I never meant to let you down, let you down Woulda gave you anything, woulda gave you everything Oh woah"
Dial Drunk (with Post Malone),Post Malone,NA
Falling Down - Bonus Track,XXXTENTACION,NA
